student_id,pais,edad,genero,plan,escuela_principal,dispositivo_principal,objetivo_estudiante,nivel_educativo,experiencia_tech_anios,meses_suscrito,tipo_pago,dias_para_renovacion,intentos_pago_fallidos,fecha_registro,dias_en_gratuito_antes_pago,cursos_inscritos,tasa_completado,cursos_completados,certificados_obtenidos,rutas_inscritas,rutas_completadas,examenes_ruta_aprobados,interes_Prog,interes_DataSci,interes_Web,interes_Ingles,interes_Marketing,interes_Diseno,interes_Gestion,interes_SoftSkills,interes_Cloud,interes_Otros,dias_desde_ultimo_login,dias_desde_ultima_clase,sesiones_ultimo_mes,horas_vistas_total,horas_vistas_ultimo_mes,promedio_clases_semana,horas_semana_1,horas_semana_2,horas_semana_3,horas_semana_4,variacion_sesiones_vs_mes_anterior,racha_dias_maxima,racha_dias_actual,liveclasses_asistidas,hora_pico_uso,preguntas_en_foro,respuestas_en_foro,upvotes_recibidos,tutoriales_publicados,platzi_rank,nivel_rewards,tickets_soporte,dias_resolucion_promedio,nps_score,churn
PLZ-00001,Colombia,23,Masculino,Expert Family,Escuela de Data Science e Inteligencia Artificial,Desktop,Ascender en trabajo actual,Tecnico,10,4,Cuotas x4,292.0,0,2022-04-26,11,13,0.68,8,6,1,0,0,0.33,0.11,0.38,0.04,0.54,0.2,0.32,0.12,0.05,0.02,19,20,23,128,5,1.2,1.4,1.1,1.3,0.6,1.5,14,0,2,22,1,3,7,0,335,Estandar,2,3.9,1.0,0
PLZ-00002,Uruguay,16,Masculino,Expert,Escuela de Ciberseguridad,Desktop,Conseguir empleo tech,Universitario completo,2,22,Anual,57.0,0,2023-11-24,3,9,0.5,4,3,3,1,0,0.29,0.21,0.2,0.01,0.58,0.33,0.1,0.2,0.25,0.17,15,17,8,50,27,6.8,9.5,8.5,5.4,6.8,-3.7,0,0,3,17,5,5,7,0,1012,Estandar,3,4.0,10.0,0
PLZ-00003,Perú,24,No especifica,Expert Duo,Escuela de Marketing Digital,Mobile,Aprender por curiosidad,Universitario completo,7,11,Anual,154.0,0,2024-03-22,11,13,0.58,7,6,0,0,0,0.02,0.25,0.24,0.27,0.36,0.34,0.05,0.19,0.22,0.25,6,16,11,106,6,1.5,1.3,1.8,0.8,1.2,6.3,0,0,4,19,5,5,9,0,678,Estandar,0,0.0,4.0,0
PLZ-00004,Argentina,32,Masculino,Gratuito,Escuela de Desarrollo Web,Desktop,Freelance / proyectos propios,Universitario en curso,10,1,Sin_suscripcion,-1.0,0,2024-03-05,18,2,0.04,0,0,0,0,0,0.08,0.07,0.13,0.14,0.01,0.16,0.19,0.07,0.26,0.39,12,25,1,6,6,1.5,1.1,2.0,1.6,1.7,0.8,26,0,0,20,4,5,10,0,75,Estandar,2,2.1,7.0,0
PLZ-00005,México,30,Masculino,Gratuito,Escuela de Ciberseguridad,Desktop,Ascender en trabajo actual,Tecnico,3,1,Sin_suscripcion,-1.0,0,2022-05-31,6,1,0.3,0,0,1,0,0,0.33,0.33,0.12,0.05,0.06,0.15,0.03,0.16,0.2,0.11,26,26,4,2,2,0.5,0.7,0.3,0.4,0.4,0.7,82,0,0,15,4,5,18,0,88,Estandar,0,0.0,,0
PLZ-00006,México,29,Masculino,Gratuito,Escuela de E-commerce y Negocios Digitales,Mobile,Conseguir empleo tech,Posgrado,0,1,Sin_suscripcion,-1.0,0,2022-09-03,75,3,0.04,0,0,3,0,0,0.32,0.26,0.28,0.22,0.43,0.12,0.13,0.11,0.33,0.41,14,27,3,11,5,1.2,1.7,1.4,1.6,0.7,-0.6,6,0,0,17,5,7,14,0,73,Estandar,3,5.9,8.0,1
PLZ-00007,México,25,Femenino,Expert,Escuela de Desarrollo Web,Desktop,Freelance / proyectos propios,Universitario completo,3,12,Anual,221.0,0,2024-12-17,82,9,0.46,4,3,3,1,1,0.03,0.15,0.1,0.34,0.02,0.12,0.28,0.19,0.52,0.14,2,5,4,78,26,6.5,8.0,8.6,6.4,8.9,-1.9,2,0,5,4,0,3,1,0,1039,Estandar,0,0.0,7.0,0
PLZ-00008,Venezuela,19,Masculino,Expert Family,Escuela de E-commerce y Negocios Digitales,Desktop,Conseguir empleo tech,Posgrado,3,6,Anual,144.0,0,2023-12-10,9,30,0.07,2,1,4,0,0,0.35,0.1,0.27,0.19,0.3,0.34,0.36,0.09,0.12,0.12,5,5,20,94,6,1.5,2.2,0.9,1.7,1.2,3.1,9,0,4,12,2,4,11,2,417,Estandar,1,4.5,2.0,0
PLZ-00009,Argentina,30,Femenino,Gratuito,Escuela de Desarrollo Web,Mobile,Freelance / proyectos propios,Universitario completo,5,1,Sin_suscripcion,-1.0,0,2023-05-22,55,1,0.08,0,0,2,0,0,0.33,0.14,0.04,0.13,0.26,0.11,0.14,0.31,0.5,0.43,2,5,2,1,1,0.2,0.3,0.3,0.3,0.2,4.7,22,0,0,21,6,4,6,0,76,Estandar,1,1.9,10.0,0
PLZ-00010,Argentina,21,Masculino,Expert,Escuela de Data Science e Inteligencia Artificial,Desktop,Aprender por curiosidad,Universitario en curso,0,8,Anual,192.0,0,2022-08-29,3,12,0.32,3,2,2,0,0,0.32,0.36,0.08,0.18,0.18,0.02,0.39,0.06,0.25,0.25,34,39,0,50,0,0.0,0.0,0.0,0.0,0.0,-3.5,11,0,0,21,3,6,21,0,317,Estandar,1,4.0,6.0,0
